bowler,season,season_year,balls,runs_conceded,wickets,wides,noballs,dots,economy,bowling_avg,dot_pct
Ramandeep Singh,2026,2026,21,31,1,5,0,1,8.857142857142858,31.0,4.761904761904762
Rashid Khan,2017,2017,328,368,18,4,0,129,6.731707317073171,20.444444444444443,39.329268292682926
Rashid Khan,2018,2018,411,466,23,3,0,167,6.802919708029197,20.26086956521739,40.632603406326034
Rashid Khan,2019,2019,367,396,19,4,0,166,6.474114441416894,20.842105263157894,45.23160762942779
Rashid Khan,2020/21,2020,391,355,20,3,0,171,5.447570332480818,17.75,43.73401534526854
Rashid Khan,2021,2021,349,398,19,7,0,134,6.8424068767908315,20.94736842105263,38.39541547277937
Rashid Khan,2022,2022,386,428,20,3,0,127,6.652849740932643,21.4,32.90155440414508
Rashid Khan,2023,2023,407,557,28,5,0,134,8.211302211302211,19.892857142857142,32.923832923832926
Rashid Khan,2024,2024,262,372,10,0,0,84,8.51908396946565,37.2,32.06106870229007
Rashid Khan,2025,2025,336,523,9,6,0,94,9.339285714285714,58.111111111111114,27.976190476190478
Rashid Khan,2026,2026,228,314,11,6,0,78,8.263157894736842,28.545454545454547,34.21052631578947
Rasikh Salam,2019,2019,27,42,0,1,2,8,9.333333333333334,,29.629629629629626
Rasikh Salam,2022,2022,24,28,0,0,0,8,7.0,,33.33333333333333
Rasikh Salam,2024,2024,156,271,9,9,0,42,10.423076923076923,30.11111111111111,26.923076923076923
Rasikh Salam,2025,2025,38,71,1,2,0,14,11.210526315789474,71.0,36.84210526315789
Rasikh Salam,2026,2026,98,137,7,2,1,31,8.387755102040817,19.571428571428573,31.63265306122449
Ravi Bishnoi,2020/21,2020,318,381,14,12,0,122,7.188679245283019,27.214285714285715,38.36477987421384
Ravi Bishnoi,2021,2021,220,240,13,4,0,87,6.545454545454546,18.46153846153846,39.54545454545455
Ravi Bishnoi,2022,2022,340,462,14,13,3,115,8.152941176470588,33.0,33.82352941176471
Ravi Bishnoi,2023,2023,312,394,17,7,2,97,7.576923076923077,23.176470588235293,31.08974358974359
Ravi Bishnoi,2024,2024,270,384,10,8,0,89,8.533333333333333,38.4,32.96296296296296
Ravi Bishnoi,2025,2025,233,402,9,11,0,68,10.351931330472102,44.666666666666664,29.184549356223176
Ravi Bishnoi,2026,2026,164,259,12,7,1,42,9.475609756097562,21.583333333333332,25.609756097560975
S Aravind,2011,2011,288,377,22,12,0,121,7.854166666666667,17.136363636363637,42.01388888888889
S Aravind,2012,2012,18,48,0,0,0,5,16.0,,27.77777777777778
S Aravind,2015,2015,110,132,10,2,0,47,7.2,13.2,42.72727272727273
S Aravind,2016,2016,182,222,11,7,0,68,7.318681318681319,20.181818181818183,37.362637362637365
S Aravind,2017,2017,190,278,5,6,1,62,8.778947368421052,55.6,32.631578947368425
S Badree,2013,2013,25,35,0,1,0,8,8.399999999999999,,32.0
S Badree,2014,2014,87,103,2,3,0,42,7.103448275862069,51.5,48.275862068965516
S Badree,2017,2017,151,191,9,1,0,64,7.589403973509933,21.22222222222222,42.384105960264904
S Dhawan,2011,2011,12,12,1,0,0,6,6.0,12.0,50.0
